Date,Open,High,Low,Close,Adj Close,Volume
2017-08-29,12031.1201171875,12032.3203125,11868.83984375,11945.8798828125,11945.8798828125,97873800
2017-08-30,12026.4501953125,12040.8203125,11989.6103515625,12002.4697265625,12002.4697265625,57255200
2017-08-31,12098.5703125,12115.5498046875,12034.1796875,12055.83984375,12055.83984375,78301400
2017-09-01,12101.150390625,12191.23046875,12085.3095703125,12142.6396484375,12142.6396484375,73532600
2017-09-04,12051.7998046875,12138.41015625,12050.5302734375,12102.2099609375,12102.2099609375,43695300
2017-09-05,12125.419921875,12210.25,12100.259765625,12123.7099609375,12123.7099609375,65653200
2017-09-06,12071.900390625,12260.759765625,12066.83984375,12214.5400390625,12214.5400390625,83032800
2017-09-07,12284.1396484375,12363.599609375,12265.509765625,12296.6298828125,12296.6298828125,93698400
2017-09-08,12261.8095703125,12321.6103515625,12245.330078125,12303.98046875,12303.98046875,61395700
2017-09-11,12381.51953125,12481.76953125,12381.330078125,12475.240234375,12475.240234375,76820300
2017-09-12,12527.4404296875,12558.0302734375,12512.58984375,12524.76953125,12524.76953125,85086300
2017-09-13,12489.25,12565.849609375,12489.25,12553.5703125,12553.5703125,79884400
2017-09-14,12524.1201171875,12552.16015625,12499.5498046875,12540.4501953125,12540.4501953125,83038500
2017-09-15,12525.3603515625,12561.349609375,12506.9404296875,12518.8095703125,12518.8095703125,192005900
2017-09-18,12593.5498046875,12613.5595703125,12537.0703125,12559.3896484375,12559.3896484375,58346600
2017-09-19,12556.4599609375,12566.2001953125,12527.900390625,12561.7900390625,12561.7900390625,74220900
2017-09-20,12550.919921875,12593.25,12518.2197265625,12569.169921875,12569.169921875,101687800
2017-09-21,12601.9501953125,12621.2802734375,12582.0400390625,12600.0302734375,12600.0302734375,100812400
2017-09-22,12569.66015625,12646.5595703125,12568.7998046875,12592.349609375,12592.349609375,76471000
2017-09-25,12573.349609375,12633.0595703125,12564.83984375,12594.8095703125,12594.8095703125,78636700
2017-09-26,12557.4404296875,12629.9296875,12551.8701171875,12605.2001953125,12605.2001953125,73188900
2017-09-27,12630.400390625,12685.1904296875,12625.5498046875,12657.41015625,12657.41015625,79754300
2017-09-28,12682.3701171875,12708.7001953125,12666.0302734375,12704.650390625,12704.650390625,84947500
2017-09-29,12725.8701171875,12828.8603515625,12722.3798828125,12828.8603515625,12828.8603515625,104900700
2017-10-02,12866.26953125,12902.650390625,12849.58984375,12902.650390625,12902.650390625,72676600
2017-10-04,12955.8896484375,12976.240234375,12893.75,12970.51953125,12970.51953125,115228700
2017-10-05,12950.1796875,12969.400390625,12933.5595703125,12968.0498046875,12968.0498046875,78532500
2017-10-06,12979.33984375,12993.5302734375,12941.150390625,12955.9404296875,12955.9404296875,73029000
2017-10-09,12975.8603515625,12996.6396484375,12943.5498046875,12976.400390625,12976.400390625,60873300
2017-10-10,12959.7197265625,12980.4501953125,12909.2802734375,12949.25,12949.25,65253500
2017-10-11,12965.2802734375,12976.3203125,12925.240234375,12970.6796875,12970.6796875,72867400
2017-10-12,12977.26953125,13002.33984375,12945.0703125,12982.8896484375,12982.8896484375,74255600
2017-10-13,12995.080078125,13036.740234375,12964.349609375,12991.8701171875,12991.8701171875,68144900
2017-10-16,13017.1796875,13026.4501953125,13000.3798828125,13003.7001953125,13003.7001953125,54658400
2017-10-17,12995.83984375,13034.419921875,12967.349609375,12995.0595703125,12995.0595703125,68180700
2017-10-18,13012.7998046875,13094.759765625,13003.919921875,13043.0302734375,13043.0302734375,63736500
2017-10-19,13036.2802734375,13042.6201171875,12911.580078125,12990.099609375,12990.099609375,79869000
2017-10-20,13057.7802734375,13063.5703125,12956.419921875,12991.2802734375,12991.2802734375,81061300
2017-10-23,13014.5703125,13069.400390625,12973.4296875,13003.1396484375,13003.1396484375,59592200
2017-10-24,12998.66015625,13055.650390625,12983.3798828125,13013.1904296875,13013.1904296875,94414800
2017-10-25,12998.4404296875,13049.4697265625,12931.2197265625,12953.41015625,12953.41015625,92501800
2017-10-26,12955.4296875,13144.650390625,12940.830078125,13133.2802734375,13133.2802734375,110206500
2017-10-27,13186.5498046875,13249.0302734375,13186.5498046875,13217.5400390625,13217.5400390625,103764300
2017-10-30,13227.849609375,13255.3798828125,13214.599609375,13229.5703125,13229.5703125,71315000
2017-11-01,13342.4404296875,13488.58984375,13341.2998046875,13465.509765625,13465.509765625,124587600
2017-11-02,13448.51953125,13460.8603515625,13405.91015625,13440.9296875,13440.9296875,93972700
2017-11-03,13476.5302734375,13505.009765625,13430.2197265625,13478.8603515625,13478.8603515625,87298600
2017-11-06,13459.419921875,13481.23046875,13441.66015625,13468.7900390625,13468.7900390625,89626000
2017-11-07,13517.98046875,13525.5595703125,13369.849609375,13379.26953125,13379.26953125,86286300
2017-11-08,13404.580078125,13419.76953125,13345.1103515625,13382.419921875,13382.419921875,103230600
2017-11-09,13378.9599609375,13402.0498046875,13175.2197265625,13182.5595703125,13182.5595703125,140940000
2017-11-10,13206.349609375,13216.9697265625,13111.650390625,13127.4697265625,13127.4697265625,114956600
2017-11-13,13150.7802734375,13163.9404296875,12960.650390625,13074.419921875,13074.419921875,101909100
2017-11-14,13101.08984375,13139.26953125,13000.150390625,13033.48046875,13033.48046875,91396500
2017-11-15,12963.08984375,12996.1201171875,12847.8798828125,12976.3701171875,12976.3701171875,132081900
2017-11-16,13024.3896484375,13071.9404296875,13008.01953125,13047.2197265625,13047.2197265625,99945000
2017-11-17,13051.7099609375,13089.7197265625,12984.669921875,12993.73046875,12993.73046875,100900300
2017-11-20,12932.8095703125,13085.169921875,12926.1298828125,13058.66015625,13058.66015625,90392400
2017-11-21,13042.9404296875,13209.009765625,13026.76953125,13167.5400390625,13167.5400390625,100582100
2017-11-22,13171.3603515625,13191.9599609375,13008.9697265625,13015.0400390625,13015.0400390625,80286100
2017-11-23,12943.490234375,13049.080078125,12921.150390625,13008.5498046875,13008.5498046875,69158700
2017-11-24,13023.51953125,13160.8095703125,12981.6796875,13059.83984375,13059.83984375,64031900
2017-11-27,13036.740234375,13117.759765625,12989.3701171875,13000.2001953125,13000.2001953125,64100100
2017-11-28,13008.9404296875,13071.009765625,12966.3798828125,13059.5302734375,13059.5302734375,66115200
2017-11-29,13153.740234375,13196.150390625,13037.33984375,13061.8701171875,13061.8701171875,93296900
2017-11-30,13060.5595703125,13177.5703125,13023.98046875,13023.98046875,13023.98046875,126013900
2017-12-01,13044.150390625,13064.2900390625,12810.1298828125,12861.490234375,12861.490234375,114375600
2017-12-04,13038.76953125,13117.75,12974.3203125,13058.5498046875,13058.5498046875,85813900
2017-12-05,13056.8203125,13094.3798828125,12960.58984375,13048.5400390625,13048.5400390625,81417900
2017-12-06,12897.4296875,13033.75,12864.6796875,12998.849609375,12998.849609375,84631500
2017-12-07,13026.2998046875,13083.080078125,12989.0,13045.150390625,13045.150390625,76453600
2017-12-08,13146.8203125,13240.919921875,13136.7802734375,13153.7001953125,13153.7001953125,104081300
2017-12-11,13181.849609375,13192.419921875,13112.8203125,13123.650390625,13123.650390625,71491100
2017-12-12,13131.41015625,13183.830078125,13079.8603515625,13183.5302734375,13183.5302734375,76497200
2017-12-13,13148.51953125,13188.0703125,13120.400390625,13125.6396484375,13125.6396484375,119136800
2017-12-14,13107.1103515625,13159.48046875,13011.9697265625,13068.080078125,13068.080078125,121549300
2017-12-15,13027.83984375,13109.1298828125,13008.0703125,13103.5595703125,13103.5595703125,183649900
2017-12-18,13211.6298828125,13331.9501953125,13206.1201171875,13312.2998046875,13312.2998046875,93660800
2017-12-19,13314.73046875,13338.91015625,13213.1904296875,13215.7900390625,13215.7900390625,73881500
2017-12-20,13244.26953125,13252.669921875,13026.1103515625,13069.169921875,13069.169921875,79842200
2017-12-21,13065.7900390625,13137.7099609375,13013.6298828125,13109.740234375,13109.740234375,70360200
2017-12-22,13076.759765625,13108.5595703125,13059.8701171875,13072.7900390625,13072.7900390625,52876700
2017-12-27,13070.1904296875,13128.740234375,13020.4296875,13070.01953125,13070.01953125,44677000
2017-12-28,13065.4599609375,13069.400390625,12965.2802734375,12979.9404296875,12979.9404296875,43152100
2017-12-29,12980.08984375,12980.740234375,12911.73046875,12917.6396484375,12917.6396484375,42169200
2018-01-02,12897.6904296875,12924.16015625,12745.150390625,12871.3896484375,12871.3896484375,86049300
2018-01-03,12916.1796875,13023.58984375,12893.0498046875,12978.2099609375,12978.2099609375,84809300
2018-01-04,13065.98046875,13208.349609375,13062.669921875,13167.8896484375,13167.8896484375,101199400
2018-01-05,13219.1103515625,13332.7998046875,13219.1103515625,13319.6396484375,13319.6396484375,112555000
2018-01-08,13399.6201171875,13407.8203125,13334.16015625,13367.7802734375,13367.7802734375,95005300
2018-01-09,13383.259765625,13425.01953125,13361.2197265625,13385.58984375,13385.58984375,94770400
2018-01-10,13355.2802734375,13377.8798828125,13227.5703125,13281.33984375,13281.33984375,120334900
2018-01-11,13281.2001953125,13298.650390625,13151.83984375,13202.900390625,13202.900390625,110577300
2018-01-12,13241.2802734375,13265.1396484375,13168.009765625,13245.0302734375,13245.0302734375,87893300
2018-01-15,13244.3701171875,13250.3701171875,13173.7099609375,13200.509765625,13200.509765625,58326200
2018-01-16,13228.599609375,13351.08984375,13196.5595703125,13246.330078125,13246.330078125,85801600
2018-01-17,13200.919921875,13251.4404296875,13137.509765625,13183.9599609375,13183.9599609375,88144100
2018-01-18,13250.25,13293.2900390625,13201.33984375,13281.4296875,13281.4296875,89644100
2018-01-19,13297.740234375,13445.4697265625,13294.8095703125,13434.4501953125,13434.4501953125,108147200
2018-01-22,13435.1396484375,13470.0498046875,13410.9599609375,13463.6904296875,13463.6904296875,95295700
2018-01-23,13577.1396484375,13596.8896484375,13517.8095703125,13559.599609375,13559.599609375,97239000
2018-01-24,13572.7099609375,13576.83984375,13414.740234375,13414.740234375,13414.740234375,105385100
2018-01-25,13374.3798828125,13443.3603515625,13222.4697265625,13298.3603515625,13298.3603515625,106119200
2018-01-26,13297.509765625,13348.6904296875,13268.3095703125,13340.169921875,13340.169921875,75829200
2018-01-29,13358.900390625,13370.01953125,13274.83984375,13324.48046875,13324.48046875,78822500
2018-01-30,13223.9697265625,13309.8603515625,13171.91015625,13197.7099609375,13197.7099609375,115152700
2018-01-31,13210.759765625,13268.41015625,13159.349609375,13189.48046875,13189.48046875,111852500
2018-02-01,13235.150390625,13301.41015625,12971.7802734375,13003.900390625,13003.900390625,122880100
2018-02-02,12954.58984375,12954.58984375,12782.0703125,12785.16015625,12785.16015625,140869300
2018-02-05,12687.7900390625,12752.599609375,12622.4404296875,12687.490234375,12687.490234375,113937900
2018-02-06,12232.8603515625,12550.16015625,12232.8603515625,12392.66015625,12392.66015625,204856800
2018-02-07,12478.6796875,12651.2802734375,12414.83984375,12590.4296875,12590.4296875,153471100
2018-02-08,12506.1796875,12541.3203125,12187.4501953125,12260.2900390625,12260.2900390625,153991900
2018-02-09,12263.099609375,12296.1796875,12003.3603515625,12107.48046875,12107.48046875,175812900
2018-02-12,12238.6298828125,12379.16015625,12222.33984375,12282.76953125,12282.76953125,120024900
2018-02-13,12282.759765625,12300.6298828125,12196.2197265625,12196.5,12196.5,94601100
2018-02-14,12294.849609375,12393.7099609375,12075.2099609375,12339.16015625,12339.16015625,130713000
2018-02-15,12425.4501953125,12479.9697265625,12275.0400390625,12346.169921875,12346.169921875,111934900
2018-02-16,12408.48046875,12484.1201171875,12368.7099609375,12451.9599609375,12451.9599609375,104230500
2018-02-19,12495.0703125,12505.490234375,12361.8603515625,12385.599609375,12385.599609375,66917000
2018-02-20,12403.6298828125,12496.099609375,12333.7900390625,12487.900390625,12487.900390625,87127600
